评论内容,评分,标题,作者,地区
绑定境外手机号之后，再点击购物车的结算，就会出现让你绑定新号码。。输入手机号之后会显示您已经绑定了此手机号。。然后就无法下单了。。。。。,1,绑定境外手机号之后bug,ShiningHardts,CA
非常时期感谢有你们,5,良心企业,Ashleyhou0910,CA
不是说海外不能用 就是手机号绑定的问题 已经绑定了说要登录就一直登录不上 下单的时候还要发检测到你的环境异常 只能点击更改手机号 完全不能下单 问了客服 第一个说转接专员 转着转着来了另一个 重新又要把问题回复一遍 然后还要找专员 来了第三个客服 又问我一遍我要什么 我说要定外卖 她居然说可以使用app下订单 我要是能下订单我还要找人工客服？我说我手机号登录异常 然后再跟我说了一次要专员 我就说你们到底要转接哪去 给我转了两次不都还是你们客服之间转来转去？专员到底在哪...到底转给谁 最后让我留下手机号码说24小时之内会回复，这个真的是翻来覆去的太sucks了 一个破订单弄的好麻烦 干脆不下了 已卸载,1,对于海外真的太垃圾,Mayne Island,CA
经常没骑手接单,1,经常没骑手接单,Kaitlyn 伍,CA
"Trying to buy a cup of bubble tea while this over-secured app kept asking for conformation code, again and again. 

Very bad customer experience!!!!",1,Ridiculously useless app,Honkai3,CA
"Great app, very convenient! However, it would be nice if they had a translation feature like many other apps in China do.",4,English would be nice,JohnPSorensen,CA
unable to use with a phone outside of China,1,Unfriendly to use,white0-10,CA
...,4,Is there an English Version if this App?,gregor-w,CA
真的很好吃，调料包比例分配正正好好，要有盒子，感觉老板不挣钱吧，哈哈哈哈,5,好吃不贵,飞出的小颖,CA
很好！,5,好,jexistew,CA
Wow,5,Shams,goodh r tu y,CA
味道不错，就是少了个咸鸭蛋。,4,不错的店,sctco,CA
Just wish the app would be more foreigner friendly. A bit more English here and there would help me understand better and would bring a new crowd of customer. But I actually really like the app for the part I understand!! ;),5,Great but not super foreigner friendly,DęvīŁ,CA
第一次使用 不知道为什么 写着满15元 免配送费 还有一个折扣 可是付费时 没有折扣 也加了配送费 菜19 一共付了 23,5,第一次使用,哈哈哈哈哈哈你2561,CA
"My friend lives like 50 metres away from me and way able to order something for delivery, but when I tried it said I was out of the district for delivery. Then I selected for them to show me restaurants nearby and that restaurant came up! But won’t let me order it for delivery! Not happy.",1,Not consistent,Da25550,CA
"Bro, I like, wanted some slices of pizza, but was wicked tired. So I just went on this app and it was at my house like 25 minutes later. But the pizza was wicked hot, so I ordered some beers. They showed up like 15 minutes later. App is wicked good guy.",5,Miracle of modern technology.,Pizza Bro 69,CA
听朋友说，车公庙地铁站C出口又开了一家鹿角巷，说是假的。去过海岸城，觉得太浪费时间了，顺便点了他们的招牌黑糖鹿丸鲜奶，特i注明少冰。骑手还可以30分钟送到。我满心欢喜地迫切地插入管子到底，直接喝到珍珠怎么又冷又硬。超难喝，等我揭开盖子发现有超过12块冰还在里面，难道这就是传说中的网红鹿角巷吗？明明告诉你少𣲙，还是给那么多的冰。喝起来象水一样没有呋道。太坑爹了！自己喝过海岸城的，的确完全不一样。看来真是假的无容置疑。可没想到那么假的离普。以后再也不会去了。,5,真坑人呀！,下沙看看one,CA
总是比预计时间提前到达，够快速。包装基本都很给力。,5,美团的速度,三只小猪1984,CA
很快送到,5,外买,淘妈好,CA
Hmmm,5,Too bad im only stay in China for a month,地狱恶魔卫士,CA
第一次购买，到货后如果好，以后会常买。,5,买买,欢乐一家66,CA
"Great app but if you don’t know Chinese, then navigating can be a challenge. Allowing translation would really help",5,Wish it can in English,LisaKanku,CA
便利，可选项丰富，商家和骑手服务态度好，饭菜质量参差有别。中华名小吃shatong找不到呀。谢谢美团外卖！,5,评论,宜养天年,CA
为了点个外卖居然还要绑定银行卡，真不把用户隐私当回事么,1,不支持支付宝,WolfskinShade,CA
推荐 不错,5,很好用,shannoncy,CA
支付完后，APP就运行出现问题，还让我支付多一次。,1,浪费我钱,35678,CA
实在是方便的让人不想出国,5,要是国外也有就好了,Peterpag111,CA
直到美团为清真事件道歉为止,1,抵制美团,Jiayouxiaolong,CA
不错,4,可以,尘仔仔仔仔仔仔,CA
呵呵,1,呵呵,NJ05041111,CA
☘️🍀🌱🌵🌿🍃🌴🌳🐢🐸🐸,1,绿团,安拉胡可巴拉拉小魔仙,CA
