评论内容,评分,标题,作者,地区
"我定的外卖，商家送错了货。我先和商家协商，商家承认送错，但不肯退款。商家说派骑手取回，我等了几个小时，都没有骑手来取回。我申请客服介入，客服人员没有提供任何帮助，就直接拒绝了我的退款申请。

美团这种垃圾平台，客服比任何一家平台都差，以后不会再用美团这种垃圾！",1,美团外卖就是垃圾,Tfghjijbbgf667,US
各种诱导绑美团支付，很多时候也不提示用户就绑上了，非常垃圾，活该被骂死,1,诱导绑卡,Lynx_Q,SG
如何关闭用餐提醒，真的很烦,5,如何关闭用餐提醒,WangZhengHao,SG
跟店家说外卖里有石头，店家通过外卖打来电话，辱骂并威胁知道我的地址，要过来打死我，虽然投诉了，官方也给了解决方案，但是总觉得这软件不安全，卸载了,3,卸载了,哈同行哦一起么,SG
"我不能完成注册，当输入手机号码以后系统显示” 当前账号行为异常，已被
限制登录或注册”",1,账号不能绑定和注册,EmmaMsTired,SG
用新加坡号码，收不到语音验证码,1,语音验证码,yunxian94,SG
8月16号从东南亚国家回重庆，因疫情期需酒店隔离21天😓家人推荐尝试美团点餐，第一次很满意，今天第二次点餐美味早餐🥣,4,回国酒店隔离首选美团👍方便快捷,ivy Liu98,SG
华为，iQoo手机都不行,4,安卓版不好用，下不了单,我要点外卖,SG
好吃！,5,好吃！,Vicsg168,SG
送货员很给力，没接到电话，急忙送回来了,5,送货员很给力，没接到电话，急忙送回来了,danni316,SG
I love kangaroo app delivery !! Best app ever !!,5,Kangaroo app 👍🏻👍🏻,Mckayla Swift,SG
"In China, this is the only APP that you need. Especially during Winter ... they deliver virtually everything to your DOOR Step !",5,The Only APP you Need!,RaymondSingapore,SG
三个龙虾包有一个换成了荠菜！,1,生气😡,帅帅狼Zzz,SG
速度挺快的,5,挺快的，还不错,Owennsjxvmdjw,SG
一有差评就各种电话短信问候 谁不害怕 以后都不敢用了 骑手送货晚点 提前点送达 还送错地方的事情天天有 不是没有好的 大概一半一半吧 但是心里怕啊 毕竟吃的东西 人家骑手商家都有你电话 你地址 谁不害怕 现在社会真是越来越危险了,3,app是好的 服务人员不行,jianglilili,SG
對服務完全滿意,5,對服務完全滿意,Jos1869,SG
问候王兴全家。,1,东北人,ibic,SG
已卸载,1,Shame on meituan,shameless meituan,SG
Zuo Si is not good,1,Don't zuo,iii 橘子,SG
No zuo no die why you try,1,No zuo no die why you try,朗道十卷,SG
已卸载,1,垃圾美团,snowman-1643,SG
"It's not a good thing, hard to use, totally unfriendly!",1,Donot use this APP!,captain_e,SG
感觉对商家的审核不是那么严谨。有些菜着实难吃。,4,软件本身很好。但是,黯影珊,SG
正在使用中很好用方便。赞,5,非常实用,Tantanlim,SG
赞👍,5,Fantastic App! 赞,Guardsman84,SG
还不错,5,嗯,janelujiayin,SG
真的超级棒超级好用。每次在我最饿的时候给我帮助！,5,超级棒！,刘议娆,SG
非常满意他们的服务，很专业！,5,服务好，速度快,Katrina Yee,SG
good,5,美团外卖,kizuna0124,SG
第一次使用 看情况以后会继续用的,5,首单送了八元,change2012,SG
这个软件最近两天既不能升级也不能卸载。,1,这个软件最近两天既不能升级也不能卸载。,夏蓉,SG
点餐方便 餐馆覆盖符合需求,5,点餐方便 餐馆覆盖符合需求,Cici suiyi,SG
这个软件 在我最困难的时刻 帮助我在家里不煮饭都吃得到 超级棒的 👍🏻,5,困难中的帮手,君17510,MY
非常无语😓外国人没有本地手机号码就不能注册了，这个问题希望官方可以改善，外国人也想订外卖啊🤔,2,没有本地手机号码就不能使用,　ling girl,MY
No English. Not foreigner friendly,1,English,Makauhijau15,MY
